seismic_low_energy,seismic_mid_energy,seismic_high_energy,seismic_peak_freq,seismic_rms,seismic_centroid,seismic_variance,seismic_zcr,seismic_peak_count,seismic_kurtosis,sound_low_energy,sound_mid_energy,sound_high_energy,sound_peak_freq,sound_rms,sound_centroid,sound_variance,sound_zcr,sound_peak_count,sound_kurtosis,label
71920.52862325954,58838.81831729352,22574.046579350437,0.0,25.19800564766715,167.8412684837969,9338.489852905273,0.0,27,14.017068352671064,11685.822503401809,8162.888174029266,3408.2803303128253,0.0,26.11276621937237,28.11020444162582,171.22361755371094,0.0,46,5.161936274635353,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
74906.76485191773,58480.27814411482,21405.927671380974,0.0,24.040527098914737,171.815466962378,10132.167907714844,0.0,27,13.306622376891747,11712.437891699781,8182.439016276737,3329.343216143404,0.0,25.78699463353637,28.170518720818755,172.478271484375,0.0,43,5.093058433006409,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
77787.86644449996,59097.26776039472,18014.77107987422,0.0,22.70555961836708,175.22125522107757,10793.939682006836,0.0,28,12.525273897711461,11723.934760713293,8170.812242058506,3329.6330435466734,0.0,25.788134249331673,28.19304269230265,172.77391052246094,0.0,43,5.070296032994612,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
80497.43227977752,58078.47568832583,17149.420388150254,0.0,21.955466261451072,178.1115345787577,11332.771240234375,0.0,28,11.792861794950596,11753.947746560636,8131.967346799782,3403.7113533785005,0.0,25.890596392742047,28.255046562516934,173.54295349121094,0.0,44,5.012240584664114,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
82985.46367058494,53848.083430651255,17300.378107151162,0.0,20.910370759481157,180.56846000893955,11765.339599609375,0.0,28,11.154266177199995,11808.23541499132,8200.163409211673,3553.194644666025,0.0,26.314423566052664,28.37403632724819,175.3896484375,0.0,45,4.905016046107388,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
85185.89940058101,51746.691068381915,16458.597256426347,0.0,20.27504368145188,182.6816732734841,12115.864990234375,0.0,29,10.611436859316626,11864.587511888105,8344.09480282606,3366.3962309946396,0.0,25.81807493005728,28.476278505099643,176.48828125,0.0,46,4.826857759705759,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
87000.58780580055,50434.56977987589,14308.857275535014,0.0,19.227158645805904,184.4614627774593,12394.056396484375,0.0,30,10.160202365724173,11890.026616709922,8373.301107239726,3316.4171996391715,0.0,25.66089639166748,28.52075724362872,176.85704040527344,0.0,46,4.7943930936271695,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
88443.49033664694,48604.43201749568,14055.192759082167,0.0,18.828516685073488,185.99079068263032,12622.618392944336,0.0,31,9.781439899906575,11929.83269268416,8339.221265073682,3511.062631912603,0.0,26.16258549570181,28.597421212410044,177.48529052734375,0.0,47,4.741890284777458,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
89574.88167224804,46796.58331495809,13788.485513587084,0.0,18.16978795385744,187.31094635658644,12802.831481933594,0.0,31,9.47062604008698,11972.485825263258,8262.449547405837,3442.386473679937,0.0,25.830335643245157,28.68055471482377,177.69200134277344,0.0,47,4.705280116524669,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
90420.95176192795,47378.893790349786,12744.12466702636,0.0,17.691751533381968,188.46074690767836,12944.738220214844,0.0,32,9.215135951151114,12000.723907534151,8197.236191689739,3368.5332458839157,0.0,25.622336647725586,28.73872061348591,177.2568359375,0.0,47,4.703297499622389,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
91010.33855823158,48456.16914127222,13075.198760984593,0.0,18.07410282810054,189.4639642517806,13053.105224609375,0.0,33,9.007707567267513,12021.459195420492,8192.849162144297,3463.3507551142548,0.0,25.92045319543992,28.801177276285078,176.864990234375,0.0,47,4.69815528435699,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
91369.67269646788,47764.75871690932,12480.936319963948,0.0,17.707838377125814,190.33995081169903,13132.421325683594,0.0,33,8.841804666645283,12030.570744626968,8194.235964909352,3392.0133493627945,0.0,25.705473344338063,28.853211476367758,176.667724609375,0.0,47,4.689340327790985,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
91524.15339479229,46003.37877374629,11438.234023455574,0.0,16.828369153138606,191.11044745120554,13190.640625,0.0,33,8.70754712380372,12032.057604824086,8160.584520826857,3390.966607598424,0.0,25.701408484513788,28.898664545269217,176.48870849609375,0.0,47,4.682259625523459,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
91503.79154178564,44762.306177646526,12286.112728041679,0.0,16.999214699901913,191.79930306507893,13233.116439819336,0.0,34,8.597330115121494,12027.741447605156,8124.324903936063,3408.8085733402227,0.0,25.726206152833917,28.938377416503503,175.9755859375,0.0,47,4.691325263515456,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
91337.55858060031,45008.601420957646,11802.055049906678,0.0,16.876440728107536,192.4131500508736,13261.079528808594,0.0,34,8.509026072988064,12020.30727848625,8122.4767248759645,3383.9640584782173,0.0,25.65862691805654,28.965833860774662,175.35337829589844,0.0,39,4.708832313325343,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
91060.96244045104,45489.49679272716,10969.270467868208,0.0,16.596807310663838,192.94341179799324,13273.552352905273,0.0,34,8.444156743057174,12010.208639592773,8127.9542748345775,3397.7760230679723,0.0,25.75577157633831,28.990097986209015,174.74546813964844,0.0,39,4.726872993475894,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
90707.5707701235,45484.334010905375,11154.077354208603,0.0,16.575984887752863,193.40861052445416,13275.2099609375,0.0,34,8.396387919644452,11998.449659273983,8115.426482283448,3377.3754366702265,0.0,25.668347308544092,29.011312448767292,174.16058349609375,0.0,39,4.744974083592425,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
90312.52132741774,45393.43416708,11324.62208622747,0.0,16.53607066691197,193.82567070695254,13271.375,0.0,34,8.358909131683264,11987.389979874037,8101.778749359059,3391.2053158960316,0.0,25.703203220381436,29.028743836928253,173.75865173339844,0.0,39,4.757212764931694,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
89921.4145366306,45163.20359828415,10645.974723722707,0.0,16.190349671621995,194.18676576945197,13262.688903808594,0.0,34,8.331837031305296,11974.598349247193,8115.492024918201,3376.0464305529486,0.0,25.65943185096452,29.043340458700683,173.191162109375,0.0,39,4.7759014810471365,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
89008.47450199585,47361.47845281485,17722.36881999451,0.0,20.653946434647807,195.56401805099526,13440.265609741211,0.0,35,8.07933107925899,11954.42492795602,8155.980855808106,3414.033814590415,0.0,25.84950902565322,29.068883707497267,172.65130615234375,0.0,39,4.791729297070819,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
87859.22879170928,53952.46010354491,22563.325519403756,0.0,23.12212043361568,198.38931501595545,13992.781005859375,0.0,34,7.753049501102557,11916.837423079181,8212.332180625288,3421.12045657664,0.0,25.884557522181492,29.11721999092633,171.8125,0.0,39,4.811367895807831,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
87457.02678695697,59887.5674691932,18360.1229438663,0.0,21.649759135802274,201.05024053392725,14503.972518920898,0.0,34,7.439095863460536,11863.723876534486,8258.0826323384,3526.417141088238,0.0,26.222133626472036,29.1949936847056,170.85215759277344,0.0,39,4.821319926731417,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
87880.02958307242,61102.010716308076,16875.75381596959,0.0,21.00421876683116,203.43659754024102,14943.369979858398,0.0,34,7.140207561148386,11822.643801444246,8296.710883416561,3464.9964828675716,0.0,26.00458014798669,29.265554090944526,170.07359313964844,0.0,39,4.829510793509362,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
88631.32934446188,59912.37459465377,16932.792151006088,0.0,20.09738040282586,205.4481667446804,15286.036239624023,0.0,35,6.870532493306215,11791.449858294724,8340.889388332693,3447.523827963495,0.0,26.12273923591063,29.33008534338078,169.34446716308594,0.0,39,4.839161805742254,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
89694.81771082456,58526.96705896631,16629.515062428545,0.0,19.620891704405153,207.1623947836576,15554.445739746094,0.0,35,6.637081681233606,11766.729597977115,8274.650739299954,3474.6632294139304,0.0,26.182153183567625,29.393943359984892,168.15721130371094,0.0,39,4.865004746723806,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
90958.94427113241,57156.90076747719,15137.179332763504,0.0,18.855220674948672,208.62620768074657,15759.702133178711,0.0,36,6.441055172258485,11756.210329226904,8220.834453174486,3426.753826085197,0.0,25.923762861061196,29.42794430893874,166.85594177246094,0.0,39,4.9067371477242245,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
92265.37953959755,55864.23281790395,14604.933061628526,0.0,18.53272224397095,209.8861670644352,15917.382568359375,0.0,37,6.277639882819084,11752.533309209473,8231.319860941878,3751.301669195419,0.0,27.012536275713416,29.53156415176819,165.92417907714844,0.0,40,4.9025010296333615,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
